symbol,exchange,vt_symbol,setup_type,entry_date,exit_date,entry_price,exit_price,quantity,turnover_entry,turnover_exit,pnl,return_pct,holding_days,entry_reason,exit_reason,initial_stop,final_stop,highest_since_entry,risk_per_unit,risk_budget,r_multiple,return_pct_str
A0,DCE,A0.DCE,NORMAL_SETUP,2015-05-12,2015-05-13,4352.0,4366.0,28,121856.0,122248.0,392.0,0.003216911764705882,2,normal_breakout_with_volume_expansion,failed_breakout_exit_next_open,4265.06,4265.06,4386.0,86.94,2500.0,0.16,0.32%
A0,DCE,A0.DCE,GOOD_SETUP,2015-05-25,2015-06-01,4447.0,4353.89,53,235691.0,230756.32,-4934.68,-0.020937068328568273,6,good_breakout_with_volume_expansion,intraday_stop,4353.89,4353.89,4463.0,93.11,5001.96,-1.0,-2.09%
A0,DCE,A0.DCE,NORMAL_SETUP,2015-08-11,2015-08-12,4355.0,4367.0,51,222105.0,222717.0,612.0,0.0027554535017221583,2,normal_breakout_with_volume_expansion,failed_breakout_exit_next_open,4306.69,4306.69,4396.0,48.31,2488.64,0.25,0.28%
A0,DCE,A0.DCE,NORMAL_SETUP,2016-08-18,2016-08-19,3892.0,3869.0,24,93408.0,92856.0,-552.0,-0.005909558067831449,2,normal_breakout_with_volume_expansion,failed_breakout_exit_next_open,3791.64,3791.64,3915.0,100.36,2490.17,-0.23,-0.59%
A0,DCE,A0.DCE,GOOD_SETUP,2016-10-27,2016-10-28,3870.0,3860.0,46,178020.0,177560.0,-460.0,-0.002583979328165375,2,good_breakout_with_volume_expansion,failed_breakout_exit_next_open,3763.39,3763.39,3918.0,106.61,4977.59,-0.09,-0.26%
A0,DCE,A0.DCE,NORMAL_SETUP,2016-12-05,2016-12-06,4198.0,4220.0,15,62970.0,63300.0,330.0,0.005240590757503573,2,normal_breakout_with_volume_expansion,failed_breakout_exit_next_open,4035.46,4035.46,4258.0,162.54,2487.64,0.14,0.52%
A0,DCE,A0.DCE,GOOD_SETUP,2016-12-19,2016-12-20,4360.0,4350.0,27,117720.0,117450.0,-270.0,-0.0022935779816513763,2,good_breakout_with_volume_expansion,failed_breakout_exit_next_open,4181.69,4181.69,4412.0,178.31,4976.94,-0.06,-0.23%
A0,DCE,A0.DCE,GOOD_SETUP,2019-05-30,2019-05-30,3718.0,3646.61,69,256542.0,251615.89,-4926.11,-0.01920195189425964,1,good_breakout_with_volume_expansion,same_day_initial_stop,3646.61,3646.61,3736.0,71.39,4975.59,-1.0,-1.92%
A0,DCE,A0.DCE,NORMAL_SETUP,2019-08-27,2019-08-28,3532.0,3516.0,46,162472.0,161736.0,-736.0,-0.004530011325028313,2,normal_breakout_with_volume_expansion,failed_breakout_exit_next_open,3478.46,3478.46,3560.0,53.54,2475.48,-0.3,-0.45%
A0,DCE,A0.DCE,GOOD_SETUP,2020-02-11,2020-02-12,4165.0,4160.0,50,208250.0,208000.0,-250.0,-0.0012004801920768306,2,good_breakout_with_volume_expansion,failed_breakout_exit_next_open,4066.61,4066.61,4204.0,98.39,4947.28,-0.05,-0.12%
A0,DCE,A0.DCE,GOOD_SETUP,2020-03-06,2020-03-09,4237.0,4175.0,95,402515.0,396625.0,-5890.0,-0.014632995043662968,2,good_breakout_with_volume_expansion,gap_down_stop_at_open,4185.39,4185.39,4248.0,51.61,4946.03,-1.2,-1.46%
A0,DCE,A0.DCE,NORMAL_SETUP,2020-03-19,2020-03-23,4315.0,4297.0,31,133765.0,133207.0,-558.0,-0.004171494785631518,3,normal_breakout_with_volume_expansion,gap_down_stop_at_open,4236.6,4315.0,4400.0,78.4,2458.29,-0.23,-0.42%
A0,DCE,A0.DCE,NORMAL_SETUP,2020-03-26,2020-04-01,4491.0,4866.0,21,94311.0,102186.0,7875.0,0.08350033400133601,5,normal_breakout_with_volume_expansion,failed_breakout_exit_next_open,4377.96,4693.29,4947.0,113.04,2456.89,3.32,8.35%
A0,DCE,A0.DCE,GOOD_SETUP,2020-06-11,2020-06-15,4706.0,4705.0,28,131768.0,131740.0,-28.0,-0.00021249468763280918,3,good_breakout_with_volume_expansion,failed_breakout_exit_next_open,4531.72,4531.72,4777.0,174.28,4953.16,-0.01,-0.02%
A0,DCE,A0.DCE,NORMAL_SETUP,2020-06-16,2020-06-18,4768.0,4817.0,26,123968.0,125242.0,1274.0,0.010276845637583893,3,normal_breakout_with_volume_expansion,failed_breakout_exit_next_open,4674.49,4674.49,4827.0,93.51,2476.51,0.52,1.03%
A0,DCE,A0.DCE,NORMAL_SETUP,2020-10-29,2020-11-03,4945.0,5112.0,26,128570.0,132912.0,4342.0,0.033771486349848334,4,normal_breakout_with_volume_expansion,failed_breakout_exit_next_open,4849.91,4945.0,5179.0,95.09,2479.7,1.76,3.38%
